region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,523,1,52337
Midwest,IA,523,1,52338
Midwest,IA,523,1,52339
Midwest,IA,523,1,52340
Midwest,IA,523,1,52341
Midwest,IA,523,1,52342
Midwest,IA,523,1,52344
Midwest,IA,523,1,52345
Midwest,IA,523,1,52346
Midwest,IA,523,1,52347
Midwest,IA,523,1,52348
Midwest,IA,523,1,52349
Midwest,IA,523,1,52350
Midwest,IA,523,1,52351
Midwest,IA,523,1,52352
Midwest,IA,523,1,52353
Midwest,IA,523,1,52354
Midwest,IA,523,1,52355
Midwest,IA,523,1,52356
Midwest,IA,523,1,52358
Midwest,IA,523,1,52359
Midwest,IA,523,1,52361
Midwest,IA,523,1,52362
Midwest,IA,524,1,52401
Midwest,IA,524,1,52402
Midwest,IA,524,1,52403
Midwest,IA,524,1,52404
Midwest,IA,524,1,52405
Midwest,IA,524,1,52406
Midwest,IA,524,1,52407
Midwest,IA,524,1,52408
Midwest,IA,524,1,52409
Midwest,IA,524,1,52410
Midwest,IA,524,1,52411
Midwest,IA,524,1,52497
Midwest,IA,524,1,52498
Midwest,IA,524,1,52499
